objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,z
588848898828271650,19.586,19.43,19.394,19.147,19.169,1.663
587728947976339511,18.755,18.754,18.704,18.398,18.395,1.757
587728948513210546,19.661,19.385,18.858,18.733,18.181,0.306
587728947439337527,19.494,19.025,18.822,18.904,18.916,1.051
588848899365011491,19.158,18.947,18.738,18.545,18.304,2.067
587728947976208525,19.514,19.264,18.88,18.875,18.723,1.005
587728948513013764,18.468,17.805,17.794,17.773,17.528,2.6
588848899901685802,18.801,18.353,18.265,18.318,18.217,0.817
588848899364683926,18.587,18.387,18.37,18.107,18.125,1.761
587728950123626502,18.902,18.538,18.536,18.306,18.364,0.587
588848900438556784,19.097,18.56,18.068,17.606,17.496,0.148
588848900975820809,18.771,18.677,18.489,18.372,18.422,1.419
587728950123823228,19.669,19.236,18.866,18.441,18.319,1.563
587728950123823195,20.471,20.054,19.738,19.213,19.361,1.691
587728950123757617,19.148,19.063,18.857,18.915,19.004,1.093
587728949050015773,19.529,19.182,19.242,19.175,19.34,0.617
588848900438950019,18.1,18.254,18.221,17.838,17.804,1.899
587728949050081329,18.858,18.582,18.596,18.709,18.559,0.837
587728949587148822,18.194,17.498,16.787,16.26,15.984,0.095
587728949587148963,19.363,19.209,18.596,18.275,17.678,0.363
587728949587214346,18.592,18.354,18.288,18.094,17.998,1.888
588848900976148483,19.199,18.954,18.784,18.892,18.756,0.931
587728949587148896,18.98,18.624,18.335,18.331,18.341,0.989
587728949050474661,19.69,19.235,18.838,18.765,18.57,0.984
588848901513085006,19.575,19.108,18.948,18.899,18.814,2.274
587728950124347420,19.475,19.313,19.206,19.152,18.9,2.128
587728949587476536,18.738,18.583,18.323,18.314,18.377,1.128
588848898829647886,18.113,17.818,17.647,17.661,17.283,0.328
588848898829582404,19.324,18.941,18.726,18.587,18.404,2.022
587728947977650373,20.262,19.919,19.113,18.735,18.379,0.304
587728948514717883,20.041,19.704,19.125,18.884,18.499,0.287
588848899903586510,24.444,20.135,19.151,18.992,18.925,3.677
588848898829516916,19.715,19.513,19.133,18.832,18.83,1.785
588848899366584526,20.231,19.619,19.071,18.782,18.493,2.071
587728947440517217,17.071,16.957,16.748,16.71,16.767,1.262
587728947977388093,19.08,18.573,18.534,18.506,18.395,2.153
588848899366453276,19.085,18.915,18.637,18.691,18.794,1.104
588848899366453485,24.535,22.458,20.415,19.903,19.82,4.377
587728948514455668,19.726,19.677,19.549,19.161,19.036,1.87
587728948514390167,19.607,19.157,18.961,18.481,18.414,1.648
588848899903258742,19.634,19.228,18.984,18.949,18.818,0.855
588848899903258646,19.065,18.926,18.614,18.48,18.467,1.172
587728948514324502,19.495,19.266,19.025,19.009,18.718,0.97
588848899366191142,19.221,19.206,19.233,19.012,19.024,1.79
588848899366191135,19.264,19.108,18.824,18.832,18.892,1.126
587728948514128055,19.905,19.735,19.495,19.381,19.489,1.42
588848899903062121,19.714,19.286,19.286,19.089,19.141,0.559
588848899903062066,19.107,19.094,18.998,18.684,18.618,1.872
588848899366125665,19.721,19.356,18.818,18.724,18.738,1.257
588848898829123610,19.69,19.388,19.14,18.878,18.632,2.049
588848899366060033,19.736,19.305,19.147,19.142,18.922,2.139
587728948513996918,19.553,19.114,18.974,18.747,18.692,0.561
587728947976994936,18.971,18.569,18.105,17.906,17.605,0.259
587728947440058458,18.899,18.685,18.536,18.643,18.602,0.948
588848898828927033,18.377,18.187,18.107,17.907,17.88,1.532
587728947976929325,19.459,18.135,17.941,17.836,17.826,2.859
587728947976929338,17.977,18.001,17.653,17.244,17.222,0.219
588848898828927206,24.483,20.968,19.633,19.524,19.529,3.744
588848899365732516,20.013,19.518,18.485,17.914,17.713,0.218
587728950124347532,19.585,19.286,18.555,18.238,17.659,0.285
588848900976279709,19.291,19.116,18.959,19,18.88,0.913
588848900439343115,18.846,18.522,18.421,18.296,18.144,2.177
587728949587476697,21.654,21.417,20.558,19.844,20.241,0.613
587728949050867734,19.303,19.165,19.068,18.991,19.021,1.347
587728949051129881,19.341,19.125,18.835,18.874,18.962,1.189
587728949587935299,19.535,19.439,19.108,18.971,18.97,1.279
587728950125002821,19.383,19.172,19.041,18.779,18.66,1.71
588848900976935039,19.444,19.128,18.615,18.377,18.074,0.361
588848900977000637,19.042,17.526,16.529,15.781,15.447,0.131
588848900440326224,19.372,19.148,19.082,18.762,18.75,1.789
587728949051326644,19.688,19.048,18.849,18.74,18.465,2.2
588848900977197213,19.209,19.087,19.053,18.942,18.978,1.459
588848900977262651,18.633,18.268,18.231,18.122,18.166,0.655
587728949588394099,19.977,19.356,19.41,19.149,18.849,2.221
588848900440457267,19.415,19.338,19.13,19.128,19.163,1.135
587728949051523224,21.964,19.63,19.308,19.26,19.089,2.994
587728949051654225,21.133,18.294,17.041,16.5,16.223,2.679
587728947441565809,19.874,19.429,19.349,19.199,19.135,0.574
588848899904372811,18.621,18.643,18.414,18.258,17.718,0.28
588848899904438287,19.638,19.185,19.078,18.699,18.57,0.559
587728947978436644,18.902,18.675,18.166,17.894,17.468,0.286
588848898830368787,18.447,18.24,17.947,17.759,17.091,0.303
588848898830303294,18.729,18.47,18.5,18.392,18.239,0.498
587728948515373213,20.484,18.869,18.667,18.566,18.551,2.96
587728948515373084,18.209,18.248,18.142,17.931,17.713,1.969
588848899904110656,19.468,19.376,19.271,18.932,18.916,1.707
587728948515111081,25.433,21.258,19.537,18.96,18.76,4.298
587728949052112921,18.726,18.323,18.121,17.882,17.72,2.072
588848899366977577,19.67,18.924,18.733,18.683,18.466,0.772
587728947441172722,21.795,20.552,19.64,19.077,18.506,0.773
588848898830041184,19.46,19.384,19.13,19.127,19.025,0.959
588848899903848453,19.355,19.372,19.1,19.059,19.071,1.204
588848898829844571,18.759,18.623,18.388,18.321,18.373,1.225
588848899366846503,17.737,17.004,16.964,17.088,17.313,1.49
587728948514848886,20.357,19.729,19.356,18.989,18.938,1.5
587728947977846917,20.28,19.857,19.042,18.638,18.224,0.257
587728947440976016,19.482,19.198,19.086,18.878,18.936,1.552
588848899366453266,19.131,18.957,18.919,18.656,18.626,1.721
587728950125264946,17.893,17.613,17.522,17.318,17.326,1.528
587728949588525204,20.346,19.56,19.209,18.948,18.837,0.595
