agcnum,radeg,decdeg,vhel,sepmin
220903,190.0433, 6.8467, 1008,406.0907
  7839,190.2400,11.9108, 1640,216.9206
  7843,190.3017,11.8858, 2270,220.7909
224009,190.3304, 6.5231, 1721,431.4447
226170,190.5237, 9.9039,  220,284.5524
  7874,190.6542,14.3556,  288,254.1308
  7875,190.6696,14.2969,  119,253.6583
220941,190.6704,13.2664, 1183,238.2207
220944,190.6871, 7.3389, 2407,402.0656
  7884,190.7183,13.2567,  977,240.9227
220956,190.7813, 7.6547, 1311,390.4002
  7889,190.7821,12.0506, 2021,246.4125
  7896,190.8854,11.5817, 1409,258.5930
  7902,190.9858,13.1264, 1038,255.6389
  7906,191.0400,12.1153, 1008,260.7320
220977,191.0500,12.9419,  925,258.6726
  7920,191.1892,12.3503,  849,267.7257
220987,191.1979, 8.1072, 1875,386.2510
229323,191.2158,16.4183,  948,346.2952
225876,191.2413,12.0297, 1540,273.1914
  7932,191.3821,13.3311,  963,279.9352
226171,191.4883,10.0883,  180,326.3222
221000,191.5183, 8.4761, 1485,384.5314
221001,191.5329,10.1636, 1504,326.4368
221004,191.5637,10.2056, 1142,326.8486
226177,191.6154, 9.2383,  217,360.2412
226178,191.6804,10.3469, 1581,329.1207
228070,191.7583, 8.7572,  222,384.4805
227870,191.7700,12.0033,  249,304.0884
  7965,191.9400,13.7625, 1618,316.0980
221026,191.9996,10.9708, 1141,332.1363
  7969,192.0625,10.9833, 1160,335.4015
  7970,192.0954, 8.4875, 1009,410.2043
229048,192.1317,10.4039,  186,351.8210
229339,192.2275,15.9872,  399,379.5121
229049,192.2304,10.3039,  185,359.5907
229042,192.3225,10.0472,  196,371.0817
  7980,192.4112,15.1650, 1100,366.9068
227940,192.6450, 9.3397,  202,408.0141
229044,192.6558, 9.9100,  185,392.3928
225857,192.7479, 9.0775, 1115,421.3616
223205,192.7783,12.0600, 1787,362.2528
  8007,192.9796,12.0828, 1779,373.8173
229045,193.1292,10.2050,  162,410.6906
  8014,193.1838,15.8483, 1240,424.4347
221085,193.2463,14.4006, 1040,398.5639
223247,193.2987,12.6344, 1819,390.1596
227941,193.3087, 9.2461,  191,445.0002
  8022,193.4617, 9.7097, 2831,440.5795
225850,193.5092, 9.4472, 1815,449.9415
  8032,193.6842,13.2372, 1121,413.3390
224902,193.6929,15.5917, 2651,445.2203
225849,193.8963,10.7389, 1842,442.8976
225878,194.0129,12.1331, 1873,433.7909
  8061,194.1833,11.9319,  563,445.0358
