agcnum,radeg,decdeg,distMpc,Vcmb,logL_V,logMH,gas2L_V,AbsMag_i,logL_i,gas2L_i
  7930,191.3208, 27.125, 20.6, 1349., 9.57, 8.98,-0.5918,-19.26, 9.5345,-0.5545
227970,191.5058,  4.381, 16.6,  973., 7.38, 8.06, 0.6790,-13.52, 7.2381, 0.8219
732281,191.5446, 26.250, 30.6, 2158., 8.52, 8.39,-0.1296,-16.33, 8.3626, 0.0274
221013,191.7308, 26.564, 10.4, 1123., 8.19, 7.23,-0.9586,-16.03, 8.2429,-1.0129
  7961,191.9438,  4.336, 16.6, 1314., 8.84, 9.31, 0.4675,-17.58, 8.8640, 0.4460
222216,191.9979,  4.433, 16.6, 1368., 8.23, 7.72,-0.5126,-15.94, 8.2092,-0.4892
228094,192.0308, 27.192, 30.8, 2165., 8.20, 8.24, 0.0369,-15.83, 8.1652, 0.0748
224517,192.0963,  5.138, 38.3, 2846., 7.89, 8.54, 0.6521,-14.02, 7.4416, 1.0984
  7976,192.3158,  4.656, 40.3, 2994., 9.04, 9.45, 0.4057,-17.72, 8.9187, 0.5313
224304,192.3571,  4.392, 39.9, 2971., 8.66, 9.20, 0.5358,-16.97, 8.6208, 0.5792
225197,192.4254,  5.489, 16.6, 1066., 7.26, 7.69, 0.4250,-13.36, 7.1770, 0.5130
  7983,192.4458,  3.842, 16.6, 1023., 8.05, 8.64, 0.5876,-15.24, 7.9288, 0.7112
  7985,192.4913,  5.311, 14.9,  980., 9.49, 9.40,-0.0932,-19.13, 9.4828,-0.0828
224226,192.4971,  5.821, 16.6,  950., 7.90, 7.72,-0.1790,-15.24, 7.9274,-0.2074
227897,192.5175,  6.847, 16.6,  888., 7.08, 7.43, 0.3550,-12.00, 6.6317, 0.7983
227972,192.6000,  4.906, 16.6,  977., 6.42, 7.41, 0.9919,-11.07, 6.2582, 1.1518
  7989,192.6108, 25.501, 11.9, 1489., 9.85, 9.59,-0.2636,-20.52,10.0395,-0.4495
227973,192.6662,  5.348, 16.6, 1002., 6.74, 7.39, 0.6484,-12.02, 6.6411, 0.7489
223245,192.9346, 26.111, 23.0, 1525., 8.28, 8.48, 0.1954,-15.82, 8.1613, 0.3187
  8005,192.9404, 25.774, 22.3, 1464., 9.77, 9.52,-0.2529,-19.81, 9.7553,-0.2353
226122,193.0642,  4.457, 16.6, 1028., 7.37, 8.04, 0.6668,-13.53, 7.2428, 0.7972
